"article_title","author","journal","citations","year"
"Health care delivery in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Economic and Political Weekly, 944-949, 2004","233","2004"
"Information, the dual economy, and development","AV Banerjee, AF Newman","The Review of Economic Studies 65 (4), 631-653, 1998","226","1998"
"Parochial politics: Ethnic preferences and politician corruption","AV Banerjee, R Pande","Vol, 2007","218","2007"
"Being surveyed can change later behavior and related parameter estimates","AP Zwane, J Zinman, E Van Dusen, W Pariente, C Null, E Miguel, ...","Proceedings of the National Academy of Sciences 108 (5), 1821-1826, 2011","216","2011"
"Giving credit where it is due","AV Banerjee, E Duflo","Journal of Economic Perspectives 24 (3), 61-80, 2010","213","2010"
"A global survey of hydrogen energy research, development and policy","BD Solomon, A Banerjee","Energy policy 34 (7), 781-792, 2006","208","2006"
"Gossip: Identifying central individuals in a social network","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","National Bureau of Economic Research, 2014","191","2014"
"An evaluation of World Bank research, 1998-2005","AV Banerjee, A Deaton, N Lustig, K Rogoff, E Hsu","Available at SSRN 2950327, 2006","191","2006"
"The miracle of microfinance","A Banerjee, E Duflo, R Glennerster, C Kinnan","Evidence from a randomized evaluation 40, 2009","176","2009"
"A Walrasian theory of money and barter","AV Banerjee, ES Maskin","The Quarterly Journal of Economics 111 (4), 955-1005, 1996","164","1996"
"Understanding poverty","AV Banerjee, R Benabou, D Mookherjee","Oxford University Press, 2006","161","2006"
"Labor market discrimination in Delhi: Evidence from a field experiment","A Banerjee, M Bertrand, S Datta, S Mullainathan","Journal of comparative Economics 37 (1), 14-27, 2009","154","2009"
"The two poverties","A Banerjee","Insurance against poverty, 59-75, 2004","151","2004"
"A simple model of voice","A Banerjee, R Somanathan","The Quarterly Journal of Economics 116 (1), 189-227, 2001","150","2001"
"Limited attention and income distribution","AV Banerjee, S Mullainathan","American Economic Review 98 (2), 489-93, 2008","144","2008"
"Debunking the stereotype of the lazy welfare recipient: Evidence from cash transfer programs","AV Banerjee, R Hanna, GE Kreindler, BA Olken","The World Bank Research Observer 32 (2), 155-184, 2017","137","2017"
"Public action for public goods","A Banerjee, L Iyer, R Somanathan","Handbook of development economics 4, 3117-3154, 2007","137","2007"
"Volatility and growth: Financial development and the cyclical composition of investment","P Aghion, M Angeletos, A Banerjee, K Manova","Currently revised for the Journal of Monetary Economics, 2005","129","2005"
"Poor economics","E Duflo, A Banerjee","PublicAffairs, 2011","125","2011"
"On frequent flyer programs and other loyalty-inducing economic arrangements","AV Banerjee, LH Summers","Harvard Institute of Economic Research, 1987","113","1987"
"Banking reform in India","A Banerjee, S Cole, E Duflo","India policy forum 1 (1), 277-332, 2004","111","2004"
"Network structure and the aggregation of information: Theory and evidence from Indonesia","V Alatas, A Banerjee, AG Chandrasekhar, R Hanna, BA Olken","American Economic Review 106 (7), 1663-1704, 2016","108","2016"
"Poor Economics: Barefoot Hedge-fund Managers, DIY Doctors and the Surprising Truth about Life on Less Than 1 [dollar] a Day","AV Banerjee, E Duflo","Penguin Books, 2012","100","2012"
"Evolutionary selection and rational behavior","A Banerjee, JW Weibull","Industriens utredningsinstitut, 1991","96","1991"
"Does elite capture matter? Local elites and targeted welfare programs in Indonesia","V Alatas, A Banerjee, R Hanna, BA Olken, R Purnamasari, M Wai-Poi","AEA Papers and Proceedings 109, 334-39, 2019","95","2019"
"Land reforms: prospects and strategies","AV Banerjee","Conference Paper, Annual World Bank Conference on Development Economics …, 1999","93","1999"
"Self-targeting: Evidence from a field experiment in Indonesia","V Alatas, R Purnamasari, M Wai-Poi, A Banerjee, BA Olken, R Hanna","Journal of Political Economy 124 (2), 371-427, 2016","90","2016"
"Bank financing in India","A Banerjee, S Cole, E Duflo","India’s and China’s recent experience with reform and growth, 138-157, 2005","87","2005"
"Are poor voters indifferent to whether elected leaders are criminal or corrupt? A vignette experiment in rural India","A Banerjee, DP Green, J McManus, R Pande","Political Communication 31 (3), 391-407, 2014","84","2014"
"Repenser la pauvreté","AV Banerjee, E Duflo","Éd. du Seuil, 2012","84","2012"
"Eviction threats and investment incentives","AV Banerjee, M Ghatak","Journal of Development Economics 74 (2), 469-488, 2004","83","2004"
"Bundling health insurance and microfinance in India: There cannot be adverse selection if there is no demand","A Banerjee, E Duflo, R Hornbeck","American Economic Review 104 (5), 291-97, 2014","82","2014"
"Institute for Financial Management and Research Centre for Micro Finance","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro","","82","2011"
"Strategy for economic reform in West Bengal","A Banerjee, P Bardhan, K Basu, MD Chaudhuri, M Ghatak, AS Guha, ...","Economic and Political Weekly, 4203-4218, 2002","81","2002"
"'New Development Economics' and the challenge to theory","AV Banerjee","Economic and Political Weekly 40 (40), 4340-4344, 2005","79","2005"
"Educational Policy and the Economics of the Family","AV Banerjee","Journal of Development Economics 74 (1), 3-32, 2004","78","2004"
"Caste, community and collective action: The political economy of public good provision in india","A Banerjee, R Somanathan","mimeo, Massachusetts Institute of Technology, 2001","77","2001"
"Empowerment and efficiency: The economics of agrarian reform","AV Banerjee, P Gertler, M Ghatak","Cambridge, Mass.: Massachusetts Institute of Technology, 1998","77","1998"
"From proof of concept to scalable policies: challenges and solutions, with an application","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...","Journal of Economic Perspectives 31 (4), 73-102, 2017","75","2017"
"Making aid work","AV Banerjee, R He","Reinventing foreign aid, 47-92, 2008","72","2008"
"Beyond nandigram: industrialisation in West Bengal","AV Banerjee, P Bardhan, K Basu, MD Chaudhury, M Ghatak, AS Guha, ...","Economic and Political Weekly, 1487-1489, 2007","71","2007"
"The (mis) allocation of capital","AV Banerjee, E Duflo, K Munshi","Journal of the European Economic Association 1 (2-3), 484-494, 2003","70","2003"
"Can institutions be reformed from within? Evidence from a randomized experiment with the Rajasthan police","AV Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh","CEPR Discussion Paper No. DP8869, 2012","68","2012"
"Inequality, growth and trade policy","A Banerjee, A Newman","MIT Working Paper, Cambridge, MA, 2003","67","2003"
"Do credit constraints limit entrepreneurship? Heterogeneity in the returns to microfinance","AV Banerjee, E Breza, E Duflo, C Kinnan","Heterogeneity in the Returns to Microfinance (September 1, 2017). Buffett …, 2017","65","2017"
"Do firms want to borrow more","A Banerjee, E Duflo","Testing Credit Constraints Using a Directed Lending Program. CEPR Discussion …, 2004","64","2004"
"Poor economics: rethinking poverty & the ways to end it","AV Banerjee, E Duflo","Random House India, 2011","63","2011"
"The life cycle model and household savings: Micro evidence from urban china","A Banerjee, X Meng, N Qian","National Bureau of Demographic Dividends Revisited 21, 2010","61","2010"
"Can voters be primed to choose better legislators? Experimental evidence from rural India","A Banerjee, D Green, J Green, R Pande","Presented and the Political Economics Seminar, Stanford University, 2010","61","2010"
"Promoting school participation in rural Rajasthan: Results from some prospective trials","A Banerjee, S Jacob, M Kremer, J Lanjouw, P Lanjouw","With Jenny Lanjouw and Peter Lanjouw. Working paper, Massachusetts Institute …, 2000","60","2000"
"L'approche expérimentale en économie du développement","AV Banerjee, E Duflo","Revue d'économie politique 119 (5), 691-726, 2009","57","2009"
"Improving police performance in Rajasthan, India: Experimental evidence on incentives, managerial autonomy and training","A Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh","National Bureau of Economic Research, 2012","55","2012"
"Can information campaigns spark local participation and improve outcomes? A study of primary education in Uttar Pradesh, India","A Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","The World Bank, 2006","55","2006"
"Computer-assisted learning: Evidence from a randomized experiment","L Linden, A Banerjee, E Duflo","Poverty Action Lab Paper 5, 2003","55","2003"
"The uses of economic theory: against a purely positive interpretation of theoretical results","AV Banerjee","MIT Department of Economics Working Paper, 2002","55","2002"
"Financial liberalization and volatility in emerging market economies","P Aghion, P Bacchetta, A Banerjee","Working Paper, Study Center Gerzensee, 1998","54","1998"
"Prospects and strategies for land reform","AV Banerjee","Annual World Bank Conference on Development Economics 1999, 253-84, 2000","52","2000"
"Tangible information and citizen empowerment: Identification cards and food subsidy programs in Indonesia","A Banerjee, R Hanna, J Kyle, BA Olken, S Sumarto","Journal of Political Economy 126 (2), 451-491, 2018","51","2018"
"(Dis) organization and Success in an Economics MOOC","AV Banerjee, E Duflo","American Economic Review 104 (5), 514-18, 2014","50","2014"
"Decision theoretic approaches to experiment design and external validity","AV Banerjee, S Chassang, E Snowberg","Handbook of Economic Field Experiments 1, 141-174, 2017","49","2017"
"The economic lives of the poor","E Duflo, A Banerjee","Journal of Economic Perspectives 21 (1), 141-167, 2007","49","2007"
"The impact of training informal health care providers in India: A randomized controlled trial","J Das, A Chowdhury, R Hussam, AV Banerjee","Science 354 (6308), aaf7384, 2016","47","2016"
"Repensar la pobreza: un giro radical en la lucha contra la desigualdad global","A Banerjee, E Duflo","Taurus, 2012","45","2012"
"Can information campaigns raise awareness and local participation in primary education?","A Banerjee, R Banerji, E Duflo, R Glennerster, D Kenniston, S Khemani, ...","Economic and Political Weekly, 1365-1372, 2007","45","2007"
"Who is getting the public goods in India? Some evidence and some speculation","AV Banerjee","India’s Emerging Economy, 183-213, 2004","45","2004"
"E-governance, accountability, and leakage in public programs: Experimental evidence from a financial management reform in india","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande","National Bureau of Economic Research, 2016","43","2016"
"Mandated empowerment: handing antipoverty policy back to the poor?","AV Banerjee, E Duflo","Annals of the new York Academy of sciences 1136 (1), 333-341, 2008","43","2008"
"Ordeal mechanisms in targeting: Theory and evidence from a field experiment in indonesia","V Alatas, A Banerjee, R Hanna, BA Olken, R Purnamasari, M Wai-Poi","National Bureau of Economic Research, 2013","42","2013"
"Peer group externalities and learning incentives: A theory of nerd behavior","AV Banerjee, T Besley","Department of Economics/Woodrow Wilson School of Public and International …, 1990","42","1990"
"More than 1 billion people are hungry in the world","A Banerjee, E Duflo","Foreign Policy, 66-72, 2011","41","2011"
"Mainstreaming an effective intervention: Evidence from randomized evaluations of “Teaching at the Right Level” in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukherji, ...","National Bureau of Economic Research, 2016","40","2016"
"Rural Industrialization in East Asia","K Otsuka, AV Banerjee","The Institutional Foundations of East Asian Economic Development, 447-481, 1998","40","1998"
"Expanding access and increasing student learning in post-primary education in developing countries: A review of the evidence","A Banerjee, P Glewwe, S Powers, M Wasserman","Cambridge, MA: Massashusetts Institute of Technology, 2013","39","2013"
"The World Bank of the future","AV Banerjee, R He","American Economic Review 93 (2), 39-44, 2003","39","2003"
"Aggregate fertility and household savings: A general equilibrium analysis using micro data","A Banerjee, X Meng, T Porzio, N Qian","National Bureau of Economic Research, 2014","37","2014"
"Repensar la pobreza","A Banerjee, E Duflo","Un giro radical en la lucha contra la desigualdad global. Santillana …, 2012","37","2012"
"Networks, migration and investment: Insiders and outsiders in Tirupur's production cluster","AV Banerjee, KD Munshi","MIT Dept. of Economics Working Paper No. 00-08, 2000","37","2000"
"Under the Thumb of History? Political institutions and the Scope for Action","AV Banerjee, E Duflo","Annu. Rev. Econ. 6 (1), 951-971, 2014","36","2014"
"Inequality and investment","A Banerjee","Massachusetts Institute of Technology. Cambridge, Massachusetts, 2004","35","2004"
"James a","D Acemoglu, S Johnson","A. Robinson. Reversal of fortune: Geography and institutions in the making …, 2002","34","2002"
"The nature of credit constraints: Evidence from an Indian bank","A Banerjee, E Duflo","Manuscript, MIT. Available at: http://www. chicagobooth. edu/research …, 2001","33","2001"
"Using gossips to spread information: Theory and evidence from two randomized controlled trials","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","The Review of Economic Studies 86 (6), 2453-2490, 2019","32","2019"
"The paradox of Indian growth: A comment on Kochhar et al.","AV Banerjee","Journal of Monetary Economics 53 (5), 1021-1026, 2006","32","2006"
"Notes toward a theory of industrialization in the developing world","A Banerjee","Development, Displacement, and Disparity: India in the Last Quarter of the …, 2004","32","2004"
"Aging and Death under a Dollar a Day","AV Banerjee, E Duflo","Research Findings in the Economics of Aging, 169-203, 2010","31","2010"
"Improving health care delivery in India","A Banerjee, E Duflo","Deaton Festshrift Conference, September, http://economics. mit. edu/files/5172, 2009","31","2009"
"Can e-governance reduce capture of public programs? Experimental evidence from a financial reform of India’s employment guarantee","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande","Accessed February 15, 2017, 2014","29","2014"
"Neutrally stable outcomes in cheap-talk coordination games","A Banerjee, JW Weibull","Games and Economic Behavior 32 (1), 1-24, 2000","29","2000"
"The long term impacts of a “Graduation” program: Evidence from West Bengal","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro","Unpublished paper, Massachusetts Institute of Technology, Cambridge, MA, 2016","27","2016"
"Climbing out of poverty: long term decisions under income stress","A Banerjee, S Mullainathan","Eleventh BREAD Conference on Development Economics, London, October, 5-6, 2007","27","2007"
"Evolutionary selection with discriminating players","A Banerjee, JW Weibull","IUI Working Paper, 1993","27","1993"
"The power of transparency: Information, identification cards and food subsidy programs in Indonesia","A Banerjee, R Hanna, JC Kyle, BA Olken, S Sumarto","National Bureau of Economic Research, 2015","26","2015"
"Do informed voters make better choices","AV Banerjee, S Kumar, R Pande, F Su","Experimental evidence from urban India, 2010","26","2010"
"Making Aid Work: How to fight global poverty effectively","AV Banerjee","Boston Review 31 (4), 7-9, 2006","26","2006"
"Evolution and rationality: some recent game-theoretic results","A Banerjee, JW Weibull, K Binmore","Economics in a changing world, 90-117, 1996","26","1996"
"What do banks (not) do?","A Banerjee, E Duflo","Economic and Political Weekly, 4212-4213, 2004","24","2004"
"Movies, margins, and marketing: Encouraging the adoption of iron-fortified salt","A Banerjee, S Barnhardt, E Duflo","Insights in the Economics of Aging, 285-306, 2015","23","2015"
"Channels from Globalization to Inequality: Productivity World versus Factor World [with Comments and Discussion]","W Easterly, J Williamson, AV Banerjee","Brookings Trade Forum, 39-81, 2004","23","2004"
"Policies for a better-fed world","AV Banerjee","Review of World Economics 152 (1), 3-17, 2016","21","2016"
"Come play with me: Experimental evidence of information diffusion about rival goods","A Banerjee, E Breza, AG Chandrasekhar, E Duflo, M Jackson","Work in Progress, 2012","21","2012"
"Improving the quality of education in India: Evidence from three randomized experiments","A Banerjee, S Cole, E Duflo, L Linden","Massachusetts Institute of Technology, Department of Economics: Cambridge …, 2003","20","2003"
"Bank Finance in India","AV Banerjee, S Cole, E Duflo","In, 2005","19","2005"
"A theory of experimenters","A Banerjee, S Chassang, S Montero, E Snowberg","National Bureau of Economic Research, 2017","17","2017"
"Handbook of Field Experiments","E Duflo, A Banerjee","Elsevier, 2017","17","2017"
"Default and punishment: Incentives and lending behavior in Indian banks","A Banerjee, S Cole, E Duflo","Manuscript. Harvard Business School, 2009","17","2009"
"2009","AYD Banerjee, E Duflo","Laboratorio contra la pobreza del MIT, El País 21, 37, 0","17",""
"Changes in social network structure in response to exposure to formal credit markets","AV Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","Available at SSRN 3245656, 2018","16","2018"
"When Less is More: Experimental Evidence on Information Delivery during India's Demonetization","AV Banerjee, E Breza, AG Chandrasekhar, B Golub","Available at SSRN 3163930, 2018","16","2018"
"Inequality and growth","AV Banerjee, E Duflo","National Bureau of Economic Research, 2000","16","2000"
"Naive learning with uninformed agents","A Banerjee, E Breza, AG Chandrasekhar, M Mobius","National Bureau of Economic Research Working Paper Series, 2019","15","2019"
"Do credit constraints limit entrepreneurship","A Banerjee, E Breza, E Duflo, C Kinnan","Heterogeneity in the returns to microfinance, 2015","15","2015"
"Delhi’s slum-dwellers: Deprivation, preferences and political engagement among the urban poor","A Banerjee, R Pande, Y Vaidya, M Walton, J Weaver","International Growth Centre Conference proceedings (Growth Week 2011), 2011","15","2011"
"Is decentralized iron fortification a feasible option to fight anemia among the poorest?","A Banerjee, E Duflo, R Glennerster","Explorations in the Economics of Aging, 317-344, 2011","14","2011"
"Can iron-fortified salt control anemia? Evidence from two experiments in rural Bihar","A Banerjee, S Barnhardt, E Duflo","Journal of Development Economics 133, 127-146, 2018","13","2018"
"Evasiveness and the distribution of prime numbers","L Babai, A Banerjee, R Kulkarni, V Naik","arXiv preprint arXiv:1001.4829, 2010","13","2010"
"Handbook of Field Experiments","AV Banerjee, E Duflo, JM Gueron, S Athey, GW Imbens, S Chassang, ...","Elsevier North Holland, 2017","12","2017"
"The miracle of microfinance","E Duflo, A Banerjee, R Glennerster, CG Kinnan","Evidence from a Randomized Evaluation, 2013","12","2013"
"Microcredit is not the enemy","A Banerjee, P Bardhan, E Duflo, E Field, D Karlan, A Khwaja, ...","Financial Times 13, 2010","12","2010"
"Word of mouth learning","D Fudenberg, A Banerjee","Games and Economic Behavior 46, 2004","12","2004"
"Notes for credit, growth, and trade policy","A Banerjee, A Newman","Massachusetts Institute of Technology, 2004","12","2004"
"N. Qian (2012),"" On the Road: Access to Transportation Infrastructure and Economic Growth in China","A Banerjee, E Duflo","NBER Working Paper 17897, 0","12",""
"The efficient deployment of police resources: theory and new evidence from a randomized drunk driving crackdown in India","A Banerjee, E Duflo, D Keniston, N Singh","National Bureau of Economic Research Working Paper Series, 2019","11","2019"
"The entertaining way to behavioral change","A Banerjee, E La Ferrara, V Orozco","1st TCD/LSE/CEPR Workshop in Development Economics, Dublin, 2017","11","2017"
"The influence of randomized controlled trials on development economics research and on development policy","AV Banerjee, E Duflo, M Kremer","The State of Economics, The State of the World Conference at the World Bank, 2016","11","2016"
"Symposium on: Institutions and economic performance","AV Banerjee, M Ghatak","Economics of Transition 13 (3), 421-425, 2005","11","2005"
"The Effect of High School Matriculation Awards: Evidence from Randomized Trials,” NBER Working paper 9839","JD Angrist, V Lavy, D Acemoglu, A Banerjee, D Card, S Dynarksi, ...","","11","2003"
"Educational Policy and the Economics of the Family","AV Banerjee","MIT Department of Economics Working Paper, 2002","11","2002"
"The entertaining way to behavioral change: Fighting HIV with MTV","A Banerjee, E La Ferrara, VH Orozco-Olvera","The World Bank, 2019","10","2019"
"Contracting out the Last-Mile of Service Delivery: Subsidized Food Distribution in Indonesia","A Banerjee, R Hanna, JC Kyle, BA Olken, S Sumarto","National Bureau of Economic Research, 2015","10","2015"
"Poor economics: Plädoyer für ein neues Verständnis von Armut","AV Banerjee, E Duflo","Albrecht Knaus Verlag, 2012","10","2012"
"Help microfinance, don’t kill it","A Banerjee, P Bardhan, E Duflo, E Field, D Karlan, A Khwaja, ...","Indian Express, 2010","10","2010"
"Investment Efficiency and the Distribution of Wealth","AV Banerjee","Equity and Growth in a Globalizing World, 71, 2010","10","2010"
"Understanding Poverty","R Bénabou, D Mookherjee, A Banerjee","Oxford University Press, 2006","10","2006"
"The imperial legacy: colonial land tenure systems and independent India","A Banerjee, L Iyer","Northeast Universities Development Consortium Conference, Boston. September …, 2001","10","2001"
"Teaching at the right level: Evidence from randomized evaluations in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukherji, M Walton","NBER Working Paper, 2015","9","2015"
"Crime, punishment and monitoring: Deterring drunken driving in India","A Banerjee, E Duflo, D Keniston, N Singh","Manuscript. Abdul Latif Jameel Poverty Action Lab. Massachusetts Institute …, 2012","9","2012"
"Wealth, health, and health services in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Massachusetts Institute of Technology, 2003","9","2003"
"A dual-economy model of modernization and development","A Banerjee, A Newman","","9","1996"
"L'economia dei poveri: capire la vera natura della povertà per combatterla","AV Banerjee, E Duflo","Feltrinelli, 2012","8","2012"
"Why aren't children learning","AV Banerjee, E Duflo","Development Outreach 13 (1), 36-44, 2011","8","2011"
"Can voters be primed to choose better legislators? Evidence from two field experiments in rural India","A Banerjee, D Green, J Green, R Pande","Unpublished paper, 2009","8","2009"
"Nonmarket institutions","K Munshi, AV Banerjee","Understanding Poverty., ed. Abhijit Vinayak Banerjee, Roland Bénabou and …, 2006","8","2006"
"Progressive freezing of finite cluster in locally canted spin Co0. 3Zn0. 7Fe2O4 spinel ferrite system","RV Upadhyay, H Parmar, P Acharya, A Banerjee","Solid State Communications 163, 50-54, 2013","7","2013"
"Esther Duflo","AV Banerjee","What is Middle Class about, 2012","7","2012"
"A platter of choices","A Banerjee","Indian Express 28, 2011","7","2011"
